RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
"
        1",1,"
    Justin Thomas
        ",28,449,WGC-Mexico,4,2,240
"
        2",2,"
    Lanto Griffin
        ",58,429,Sentry,1,7,656
"
        3",3,"
    Jon Rahm
        ",20,415,Sentry,4,7,656
"
        4",4,"
    Cameron Champ
        ",38,413,Sentry,1,7,656
"
        5",5,"
    Rory McIlroy
        ",24,412,WGC-Mexico,3,10,240
"
        6",6,"
    Sepp Straka
        ",38,411,The Greenbrier,1,6,771
"
        7",7,"
    Byeong Hun An
        ",47,410,WGC-Mexico,3,2,240
"
        8",8,"
    Ryan Brehm
        ",42,409,Sony Open,2,16,6
"
        9",9,"
    Sung Kang
        ",47,408,WGC-Mexico,2,12,240
"
        10",10,"
    Scottie Scheffler
        ",48,407,WGC-Mexico,4,4,240
"
        11",11,"
    Louis Oosthuizen
        ",14,404,WGC-Mexico,4,4,240
"
        12",12,"
    Jordan Spieth
        ",30,402,WGC-Mexico,4,4,240
"
        T13","
        T13","
    Ryan Fox
        ",4,400,WGC-Mexico,1,2,240
"
        T13","
        T13","
    Gary Woodland
        ",30,400,Sentry,4,12,656
"
        T13","
        T13","
    Brandon Hagy
        ",36,400,The Greenbrier,2,17,771
"
        T13","
        T13","
    Adam Scott
        ",26,400,WGC-Mexico,2,11,240
"
        17",17,"
    Matthew Wolff
        ",36,399,Sentry,1,12,656
"
        18",18,"
    Rickie Fowler
        ",20,398,Sentry,1,12,656
"
        T19","
        T19","
    Martin Trainer
        ",34,397,Sentry,4,17,656
"
        T19","
        T19","
    Paul Casey
        ",28,397,Sentry,1,12,656
"
        T21","
        T21","
    Hideki Matsuyama
        ",42,396,WGC-Mexico,4,10,240
"
        T21","
        T21","
    Joseph Bramlett
        ",41,396,The Greenbrier,2,1,771
"
        23",23,"
    Charles Howell III
        ",43,395,WGC-Mexico,2,11,240
"
        T24","
        T24","
    Lee Westwood
        ",10,393,WGC-Mexico,3,10,240
"
        T24","
        T24","
    Dustin Johnson
        ",16,393,WGC-Mexico,1,10,240
"
        T24","
        T24","
    Bryson DeChambeau
        ",26,393,WGC-Mexico,2,11,240
"
        27",27,"
    Benjamin Hebert
        ",8,392,WGC-Mexico,4,11,240
"
        T28","
        T28","
    Bubba Watson
        ",30,390,WGC-Mexico,3,11,240
"
        T28","
        T28","
    Joaquin Niemann
        ",38,390,Sentry,1,7,656
"
        T28","
        T28","
    Francesco Molinari
        ",19,390,WGC-Mexico,3,10,240
"
        T31","
        T31","
    Victor Perez
        ",8,388,WGC-Mexico,3,2,240
"
        T31","
        T31","
    Jason Day
        ",21,388,Pebble Beach,1,10,769
"
        T31","
        T31","
    Billy Horschel
        ",41,388,WGC-Mexico,1,2,240
"
        T31","
        T31","
    Anirban Lahiri
        ",33,388,Pebble Beach,1,3,5
"
        T31","
        T31","
    Matthias Schwab
        ",8,388,WGC-Mexico,1,4,240
"
        36",36,"
    Xander Schauffele
        ",30,387,WGC-Mexico,4,11,240
"
        T37","
        T37","
    Tom Lewis
        ",12,386,The Greenbrier,1,6,771
"
        T37","
        T37","
    Sergio Garcia
        ",20,386,WGC-Mexico,3,4,240
"
        T39","
        T39","
    Tommy Fleetwood
        ",22,385,WGC-Mexico,4,11,240
"
        T39","
        T39","
    Patrick Reed
        ",30,385,WGC-Mexico,4,12,240
"
        T39","
        T39","
    Jarryd Dillas
        ",2,385,Bermuda,2,2,765
"
        T42","
        T42","
    Robert MacIntyre
        ",8,384,WGC-Mexico,4,4,240
"
        T42","
        T42","
    Nate Lashley
        ",34,384,Sentry,4,1,656
"
        T42","
        T42","
    Justin Harding
        ",8,384,WGC-Mexico,2,11,240
"
        T42","
        T42","
    D.J. Trahan
        ",37,384,The Greenbrier,2,6,771
"
        T46","
        T46","
    Jason Kokrak
        ",33,383,WGC-Mexico,1,4,240
"
        T46","
        T46","
    Cameron Tringale
        ",46,383,Honda Classic,1,12,734
"
        T46","
        T46","
    Keith Mitchell
        ",38,383,Sentry,4,12,656
"
        T46","
        T46","
    Abraham Ancer
        ",40,383,WGC-Mexico,3,11,240
"
        T50","
        T50","
    Zander Lombard
        ",8,382,WGC-Mexico,2,11,240
"
        T50","
        T50","
    Sebastián Muñoz
        ",50,382,The Greenbrier,3,6,771
"
        T50","
        T50","
    Matt Wallace
        ",14,382,WGC-Mexico,2,12,240
"
        T50","
        T50","
    Kyle Westmoreland
        ",4,382,The Greenbrier,1,17,771
"
        T50","
        T50","
    Bernd Wiesberger
        ",8,382,WGC-Mexico,4,10,240
"
        55",55,"
    Scott Piercy
        ",44,381,Phoenix Open,4,18,510
"
        T56","
        T56","
    Cameron Smith
        ",34,380,WGC-Mexico,3,14,240
"
        T56","
        T56","
    Lucas Herbert
        ",4,380,WGC-Mexico,2,4,240
"
        T56","
        T56","
    Corey Conners
        ",40,380,WGC-Mexico,4,12,240
"
        T59","
        T59","
    Erik van Rooyen
        ",12,379,WGC-Mexico,3,4,240
"
        T59","
        T59","
    Collin Morikawa
        ",44,379,WGC-Mexico,2,10,240
"
        T59","
        T59","
    Jimmy Walker
        ",32,379,The Greenbrier,2,6,771
"
        T59","
        T59","
    Chris Kirk
        ",15,379,Sony Open,1,16,6
"
        T59","
        T59","
    Ryan Armour
        ",36,379,The Greenbrier,2,6,771
"
        T64","
        T64","
    Ryan Palmer
        ",34,378,Sentry,4,17,656
"
        T64","
        T64","
    Bronson Burgoon
        ",33,378,The Greenbrier,3,16,771
"
        T64","
        T64","
    Cameron Davis
        ",38,378,Sanderson Farms,1,18,746
"
        T67","
        T67","
    Harold Varner III
        ",46,377,The Greenbrier,3,6,771
"
        T67","
        T67","
    Kevin Streelman
        ",41,377,Phoenix Open,2,15,510
"
        T67","
        T67","
    Jorge Campillo
        ",8,377,WGC-Mexico,4,12,240
"
        T70","
        T70","
    Kevin Kisner
        ",35,376,Sentry,1,12,656
"
        T70","
        T70","
    Matthew Fitzpatrick
        ",24,376,WGC-Mexico,4,11,240
"
        T70","
        T70","
    Zach Murray
        ",4,376,WGC-Mexico,4,11,240
"
        T70","
        T70","
    Scott Hend
        ",8,376,WGC-Mexico,4,11,240
"
        T74","
        T74","
    Kurt Kitayama
        ",18,375,WGC-Mexico,3,12,240
"
        T74","
        T74","
    Scott Harrington
        ",46,375,The Greenbrier,4,6,771
"
        T74","
        T74","
    Shugo Imahira
        ",10,375,WGC-Mexico,3,11,240
"
        T77","
        T77","
    Webb Simpson
        ",20,374,WGC-Mexico,4,14,240
"
        T77","
        T77","
    Kristoffer Ventura
        ",34,374,The Greenbrier,1,16,771
"
        T77","
        T77","
    Tyler McCumber
        ",43,374,The Greenbrier,2,16,771
"
        T77","
        T77","
    Kramer Hickok
        ",37,374,Pebble Beach,2,9,5
"
        T81","
        T81","
    Sungjae Im
        ",54,373,WGC-Mexico,3,14,240
"
        T81","
        T81","
    Tyler Duncan
        ",45,373,Sentry,1,6,656
"
        T81","
        T81","
    Marcus Kinhult
        ",4,373,WGC-Mexico,4,12,240
"
        T81","
        T81","
    Lucas Glover
        ",39,373,WGC-Mexico,4,12,240
"
        T81","
        T81","
    J.B. Holmes
        ",24,373,Sentry,1,17,656
"
        T81","
        T81","
    Danny Willett
        ",18,373,WGC-Mexico,3,12,240
"
        T81","
        T81","
    Shane Lowry
        ",16,373,WGC-Mexico,3,12,240
"
        T81","
        T81","
    Tyrrell Hatton
        ",16,373,WGC-Mexico,4,12,240
"
        T81","
        T81","
    Brian Gay
        ",45,373,Shriners,3,18,538
"
        T81","
        T81","
    Kevin Na
        ",42,373,Sentry,3,7,656
"
        T91","
        T91","
    Grayson Murray
        ",29,372,The Greenbrier,2,13,771
"
        T91","
        T91","
    Chesson Hadley
        ",38,372,Phoenix Open,1,8,510
"
        T91","
        T91","
    Patrick Cantlay
        ",20,372,Sentry,4,7,656
"
        T91","
        T91","
    Max Homa
        ",42,372,Sentry,4,7,656
"
        T95","
        T95","
    Chase Seiffert
        ",44,371,The Greenbrier,1,12,771
"
        T95","
        T95","
    Richy Werenski
        ",26,371,The Greenbrier,4,6,771
"
        T95","
        T95","
    Tae Hee Lee
        ",12,371,WGC-Mexico,3,11,240
"
        T95","
        T95","
    J.T. Poston
        ",46,371,Sentry,4,7,656
"
        T99","
        T99","
    Patrick Rodgers
        ",61,370,The Greenbrier,2,12,771
"
        T99","
        ","
    Brandon Matthews
        ",2,370,Arnold Palmer,1,3,9
"
        T99","
        T99","
    Jason Dufner
        ",34,370,The Greenbrier,3,16,771
"
        T99","
        T99","
    Brice Garnett
        ",40,370,The Greenbrier,2,11,771
"
        T99","
        T99","
    Danny Lee
        ",40,370,The Greenbrier,2,6,771
"
        T99","
        T187","
    Kevin Tway
        ",34,370,Arnold Palmer,1,5,9
"
        T99","
        T99","
    Beau Hossler
        ",51,370,The Greenbrier,2,1,771
"
        T106","
        T104","
    Luke List
        ",41,369,Honda Classic,1,9,734
"
        T106","
        T104","
    Michael Lorenzo-Vera
        ",8,369,WGC-Mexico,4,12,240
"
        T106","
        T104","
    Branden Grace
        ",23,369,WGC-Mexico,3,11,240
"
        T106","
        T104","
    Wes Roach
        ",36,369,Pebble Beach,1,9,5
"
        T110","
        T108","
    Dominic Bozzelli
        ",32,368,The Greenbrier,3,12,771
"
        T110","
        T108","
    Shaun Norris
        ",8,368,WGC-Mexico,3,4,240
"
        T110","
        T108","
    Ryo Ishikawa
        ",14,368,WGC-Mexico,4,14,240
"
        T110","
        T108","
    Adam Long
        ",54,368,Sentry,1,17,656
"
        T110","
        T108","
    Hunter Mahan
        ",9,368,Houston Open,2,15,729
"
        T110","
        T108","
    Jonathan Byrd
        ",19,368,The Greenbrier,3,12,771
"
        T116","
        T114","
    Matt Kuchar
        ",28,367,WGC-Mexico,4,10,240
"
        T116","
        T114","
    Chez Reavie
        ",45,367,WGC-Mexico,4,10,240
"
        T116","
        T114","
    Marc Leishman
        ",33,367,Sony Open,2,12,6
"
        T116","
        T114","
    Jhonattan Vegas
        ",32,367,Safeway Open,4,5,552
"
        T116","
        T114","
    Jamie Lovemark
        ",20,367,The Greenbrier,1,12,771
"
        T116","
        T114","
    Brendan Steele
        ",38,367,The Greenbrier,2,13,771
"
        T116","
        T114","
    Russell Knox
        ",47,367,Pebble Beach,3,9,5
"
        T116","
        T114","
    Carlos Ortiz
        ",46,367,WGC-Mexico,1,15,240
"
        T116","
        T114","
    Kenny Leseur
        ",2,367,Bermuda,2,2,765
"
        T125","
        T123","
    Matthew NeSmith
        ",46,366,Pebble Beach,1,9,5
"
        T125","
        T123","
    Vincent Whaley
        ",30,366,Sony Open,1,3,6
"
        T125","
        T123","
    Graeme McDowell
        ",28,366,Sentry,1,1,656
"
        T125","
        T123","
    Rob Oppenheim
        ",49,366,Pebble Beach,4,9,5
"
        T125","
        T123","
    Tony Finau
        ",32,366,Phoenix Open,4,18,510
"
        T125","
        T123","
    Dylan Frittelli
        ",50,366,Sentry,1,18,656
"
        T125","
        T123","
    Patton Kizzire
        ",35,366,Phoenix Open,2,6,510
"
        T132","
        T130","
    Peter Uihlein
        ",29,365,Shriners,3,2,538
"
        T132","
        T130","
    Mackenzie Hughes
        ",32,365,The Greenbrier,2,6,771
"
        T132","
        T130","
    Robby Shelton
        ",49,365,The Greenbrier,2,12,771
"
        T132","
        T130","
    Hayden Springer
        ",2,365,The Greenbrier,1,12,771
"
        T136","
        T134","
    Christiaan Bezuidenhout
        ",12,364,WGC-Mexico,2,14,240
"
        T136","
        T134","
    Rhein Gibson
        ",42,364,Puerto Rico,3,2,742
"
        T138",136,"
    Michael Gligic
        ",36,363,Pebble Beach,4,10,5
"
        T138","
        T187","
    Denny McCarthy
        ",48,363,Arnold Palmer,2,5,9
"
        T140","
        T137","
    Daniel Berger
        ",34,362,Pebble Beach,3,9,5
"
        T140","
        T137","
    Will Gordon
        ",20,362,Sony Open,2,16,6
"
        T140","
        T184","
    Charl Schwartzel
        ",12,362,Arnold Palmer,2,5,9
"
        T140","
        T137","
    Graham DeLaet
        ",14,362,Sony Open,1,18,6
"
        T140","
        T137","
    Henrik Norlander
        ",46,362,Pebble Beach,1,9,5
"
        T140","
        T137","
    Kevin Chappell
        ",31,362,The Greenbrier,2,6,771
"
        T146","
        T142","
    Seamus Power
        ",22,361,Pebble Beach,4,9,5
"
        T146","
        T142","
    Mark Hubbard
        ",49,361,The Greenbrier,1,6,771
"
        T146","
        T142","
    Austin Cook
        ",38,361,The Greenbrier,3,17,771
"
        T146","
        T142","
    Phil Mickelson
        ",27,361,Shriners,4,2,538
"
        T150","
        T146","
    John Senden
        ",23,360,Pebble Beach,3,9,5
"
        T150","
        T146","
    Sam Ryder
        ",50,360,The Greenbrier,2,12,771
"
        T150","
        T198","
    Si Woo Kim
        ",38,360,Arnold Palmer,2,5,9
"
        T150","
        T146","
    Hank Lebioda
        ",39,360,The Greenbrier,2,6,771
"
        T150","
        T146","
    Tony Romo
        ",2,360,Safeway Open,2,4,552
"
        T150","
        T146","
    Shintaro Ban
        ",2,360,The Greenbrier,2,6,771
"
        T150","
        T198","
    C.T. Pan
        ",28,360,Arnold Palmer,2,5,9
"
        T150","
        T146","
    Jim Herman
        ",36,360,Sentry,4,1,656
"
        T150","
        T146","
    Rafael Campos
        ",29,360,The Greenbrier,2,6,771
"
        T150","
        T146","
    Mark Anderson
        ",37,360,The Greenbrier,4,6,771
"
        T150","
        T146","
    Zack Sucher
        ",30,360,The Greenbrier,3,16,771
"
        T150","
        T146","
    Lucas Bjerregaard
        ",17,360,Shriners,2,13,538
"
        T162","
        T156","
    Boo Weekley
        ",14,359,The Greenbrier,2,6,771
"
        T162","
        T156","
    Martin Laird
        ",39,359,The Greenbrier,2,12,771
"
        T162","
        T156","
    Brendon Todd
        ",48,359,Sentry,1,1,656
"
        T162","
        T156","
    Harris English
        ",42,359,Phoenix Open,4,13,510
"
        T162","
        T156","
    Zac Blair
        ",48,359,Pebble Beach,4,9,5
"
        T162","
        T156","
    Sam Burns
        ",34,359,Sony Open,1,13,6
"
        T162","
        T156","
    Aaron Wise
        ",31,359,Genesis,2,18,500
"
        T162","
        T156","
    Isaiah Salinda
        ",16,359,Pebble Beach,1,10,769
"
        T162","
        T156","
    Stewart Cink
        ",31,359,Pebble Beach,3,10,769
"
        T162","
        T156","
    Cameron Percy
        ",37,359,Bermuda,3,2,765
"
        T172","
        T166","
    Tomoyo Ikemura
        ",2,358,Sony Open,1,16,6
"
        T172","
        T166","
    Jazz Janewattananond
        ",18,358,WGC-Mexico,2,14,240
"
        T172","
        T166","
    Adam Schenk
        ",46,358,Shriners,1,9,538
"
        T172","
        T166","
    Wyndham Clark
        ",41,358,Phoenix Open,2,6,510
"
        T172","
        T166","
    Jack Trent
        ",4,358,Shriners,3,2,538
"
        T172","
        T198","
    Alex Noren
        ",28,358,Arnold Palmer,2,15,9
"
        T172","
        T187","
    Keegan Bradley
        ",40,358,Arnold Palmer,1,3,9
"
        T179","
        T171","
    Vince Covello
        ",21,357,The Greenbrier,4,12,771
"
        T179","
        T171","
    Sebastian Cappelen
        ",43,357,The Greenbrier,1,6,771
"
        T179","
        T171","
    Michael Kim
        ",14,357,The Greenbrier,2,6,771
"
        T179","
        T171","
    Patrick Fishburn
        ",4,357,Bermuda,1,12,765
"
        T183","
        T175","
    Derek Ernst
        ",14,356,Bermuda,1,2,765
"
        T183","
        T175","
    Hiram Silfa
        ",2,356,Puerto Rico,1,2,742
"
        T183","
        T175","
    Smylie Kaufman
        ",11,356,Pebble Beach,2,10,769
"
        T183","
        T175","
    Jeremy Gandon
        ",4,356,Houston Open,2,1,729
"
        T183","
        T175","
    Michael Gellerman
        ",32,356,The Greenbrier,1,12,771
"
        T183","
        T175","
    Brandt Snedeker
        ",29,356,Sony Open,2,12,6
"
        T183","
        T175","
    Scott Stallings
        ",41,356,Shriners,3,9,538
"
        T183","
        T175","
    Bud Cauley
        ",38,356,The Greenbrier,3,6,771
"
        T183","
        T175","
    Padraig Harrington
        ",7,356,Pebble Beach,1,10,769
"
        T192","
        T184","
    George McNeill
        ",22,355,Safeway Open,2,1,552
"
        T192","
        T184","
    Andrew Novak
        ",6,355,The Greenbrier,4,6,771
"
        T194","
        T187","
    J.J. Spaun
        ",42,354,The Greenbrier,4,6,771
"
        T194","
        T187","
    Doc Redman
        ",52,354,The Greenbrier,4,1,771
"
        T194","
        T187","
    Matt Jones
        ",46,354,The Greenbrier,4,12,771
"
        T194","
        T187","
    Pablo Larrazabal
        ",4,354,WGC-Mexico,4,11,240
"
        T194","
        T187","
    Tommy Gainey
        ",10,354,Houston Open,1,18,729
"
        T194","
        T187","
    Xinjun Zhang
        ",55,354,The Greenbrier,1,12,771
"
        T194","
        T187","
    Hudson Swafford
        ",21,354,Phoenix Open,1,6,510
"
        T194","
        T187","
    Robert Streb
        ",40,354,Pebble Beach,1,9,5
"
        T202","
        T198","
    Nick Watney
        ",33,353,Safeway Open,2,1,552
"
        T202","
        T198","
    Joel Dahmen
        ",47,353,Phoenix Open,2,9,510
"
        T202","
        T204","
    Rory Sabbatini
        ",42,353,Arnold Palmer,2,5,9
"
        T202","
        T198","
    Rod Pampling
        ",11,353,Bermuda,3,2,765
"
        T206","
        T204","
    Alex Cejka
        ",23,352,The Greenbrier,1,17,771
"
        T206","
        T204","
    Rafa Cabrera Bello
        ",25,352,WGC-Mexico,3,14,240
"
        T206","
        T204","
    Brian Harman
        ",44,352,The Greenbrier,2,6,771
"
        T206","
        T204","
    Adam Hadwin
        ",31,352,Phoenix Open,2,11,510
"
        T206","
        T204","
    Shawn Stefani
        ",26,352,The Greenbrier,2,1,771
"
        T206","
        T204","
    Bo Hoag
        ",47,352,Bermuda,1,12,765
"
        T206","
        T220","
    Harry Higgs
        ",53,352,Arnold Palmer,3,15,9
"
        T206","
        T204","
    Viktor Hovland
        ",30,352,The Greenbrier,2,6,771
"
        T206","
        T204","
    Daniel Augustus IV
        ",2,352,Bermuda,2,2,765
"
        T206","
        T204","
    Doug Ghim
        ",30,352,The Greenbrier,3,6,771
"
        T206","
        T204","
    Akshay Bhatia
        ",11,352,Shriners,2,2,538
"
        T217","
        T215","
    Alex Smalley
        ",2,351,Phoenix Open,2,17,510
"
        T217","
        T215","
    Ben Taylor
        ",36,351,Pebble Beach,2,10,769
