RANK THIS WEEK_x,RANK LAST WEEK_x,PLAYER NAME,ROUNDS_x,%_x,TOTAL BIRDIES_x,TOTAL HOLES_x,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_y,TOTAL BIRDIES_y,TOTAL HOLES_y,RANK THIS WEEK,RANK LAST WEEK,ROUNDS,%,TOTAL BIRDIES,TOTAL HOLES
1,2,Patrick Cantlay,20,29.67,73,246,T82,T88,20,17.39,4,23,T179,T179,20,10.0,3,30
2,1,Patrick Reed,30,29.46,76,258,T163,202,30,13.04,6,46,126,T88,30,13.89,5,36
3,3,Seamus Power,22,29.37,42,143,T34,T40,22,21.43,3,14,207,202,22,7.41,2,27
4,4,Webb Simpson,20,29.12,76,261,T103,T112,20,16.13,5,31,T49,T53,20,19.23,5,26
5,7,Sebastián Muñoz,50,27.71,156,563,T63,60,50,18.75,15,80,105,T93,50,15.19,12,79
6,8,Justin Thomas,28,27.62,66,239,14,17,28,26.19,11,42,13,18,28,23.91,11,46
7,11,Daniel Berger,34,27.45,98,357,T141,T146,34,14.29,4,28,106,106,34,15.09,8,53
8,T15,Jon Rahm,20,26.83,66,246,27,33,20,22.58,7,31,T204,T199,20,7.69,2,26
9,17,Cameron Smith,34,26.71,82,307,T76,T78,34,17.86,10,56,T21,T27,34,22.22,10,45
T10,12,Denny McCarthy,48,26.67,124,465,T86,T78,48,17.24,10,58,T64,63,48,17.65,12,68
T10,18,Dominic Bozzelli,32,26.67,64,240,46,51,32,20.45,9,44,66,74,32,17.39,8,46
12,9,Cameron Champ,38,26.53,91,343,57,T55,38,19.18,14,73,T139,T117,38,12.9,8,62
13,20,Adam Hadwin,31,26.47,72,272,T121,T126,31,15.38,4,26,T160,T158,31,11.76,4,34
14,6,Rory McIlroy,24,26.32,45,171,T112,46,24,15.79,6,38,T135,T93,24,13.04,3,23
15,14,Tom Hoge,42,26.27,119,453,T112,T146,42,15.79,9,57,173,161,42,10.61,7,66
16,21,Nick Watney,33,26.17,84,321,T99,T109,33,16.33,8,49,T49,T53,33,19.23,10,52
17,22,James Hahn,30,25.99,72,277,T156,T159,30,13.33,4,30,T179,T179,30,10.0,4,40
18,13,Scottie Scheffler,48,25.95,116,447,8,11,48,28.21,22,78,60,T72,48,18.03,11,61
19,10,Kevin Na,42,25.91,100,386,206,T206,42,8.0,4,50,T67,T76,42,17.24,10,58
T20,T15,Tony Finau,32,25.78,58,225,41,37,32,21.05,8,38,37,20,32,20.93,9,43
T20,24,Kristoffer Ventura,34,25.78,58,225,T76,T78,34,17.86,5,28,T21,T27,34,22.22,10,45
22,26,Grayson Murray,29,25.72,71,276,177,172,29,11.9,5,42,53,56,29,19.12,13,68
23,23,Collin Morikawa,44,25.66,116,452,131,T94,44,15.09,8,53,T31,21,44,21.31,13,61
24,29,Maverick McNealy,50,25.63,101,394,T16,14,50,25.0,15,60,T41,36,50,20.0,14,70
25,19,Xinjun Zhang,55,25.58,121,473,T88,83,55,17.14,12,70,T73,T58,55,16.88,13,77
26,31,J.B. Holmes,24,25.54,59,231,T58,69,24,19.05,8,42,T166,T164,24,11.43,4,35
27,32,Sungjae Im,54,25.29,132,522,32,29,54,21.67,13,60,T144,T131,54,12.5,8,64
T28,,Tyrrell Hatton,16,25.25,25,99,23,,16,23.08,3,13,132,,16,13.33,2,15
T28,5,Jason Day,21,25.25,25,99,T34,T40,21,21.43,3,14,T214,203,21,5.56,1,18
T30,34,Peter Uihlein,29,25.24,53,210,T182,T180,29,11.11,5,45,T197,T192,29,8.7,4,46
T30,47,Keith Mitchell,38,25.24,80,317,T156,168,38,13.33,6,45,T179,T117,38,10.0,3,30
T30,25,Bryson DeChambeau,26,25.24,80,317,T49,T48,26,20.0,8,40,19,24,26,23.21,13,56
33,35,Chesson Hadley,38,25.23,84,333,47,T52,38,20.41,10,49,T111,T113,38,14.55,8,55
34,39,Zack Sucher,30,25.12,51,203,T55,T65,30,19.23,10,52,T166,T164,30,11.43,4,35
35,40,Gary Woodland,30,25.09,67,267,T6,T7,30,30.0,12,40,T185,T185,30,9.68,3,31
36,T41,John Huh,26,25.0,75,300,T202,199,26,8.82,3,34,T41,T42,26,20.0,10,50
37,28,Brian Harman,44,24.95,125,501,T141,T140,44,14.29,8,56,T154,T144,44,12.31,8,65
38,45,Cameron Davis,38,24.76,79,319,T141,T146,38,14.29,7,49,133,139,38,13.24,9,68
39,30,Hideki Matsuyama,42,24.72,89,360,60,T72,42,18.92,7,37,18,T6,42,23.44,15,64
40,48,Adam Schenk,46,24.7,83,336,T149,T152,46,13.79,8,58,T89,T91,46,15.91,7,44
41,36,Brendan Steele,38,24.68,97,393,T156,150,38,13.33,6,45,142,T140,38,12.73,7,55
42,37,Charley Hoffman,39,24.64,85,345,166,T112,39,12.82,5,39,28,34,39,21.67,13,60
43,T51,Brandt Snedeker,29,24.62,81,329,33,39,29,21.57,11,51,46,T49,29,19.61,10,51
44,T41,Viktor Hovland,30,24.57,43,175,T121,44,30,15.38,4,26,T222,T216,30,0.0,0,21
45,55,Ryan Palmer,34,24.47,81,331,T68,T72,34,18.18,8,44,T116,T117,34,14.29,5,35
46,53,Harris English,42,24.46,113,462,186,193,42,10.71,6,56,187,T171,42,9.62,5,52
47,58,Bronson Burgoon,33,24.45,78,319,T55,T65,33,19.23,5,26,102,105,33,15.28,11,72
48,59,Paul Casey,28,24.41,52,213,T34,T40,28,21.43,6,28,T21,T27,28,22.22,6,27
49,61,Chad Campbell,15,24.39,30,123,T223,T220,15,0.0,0,8,20,T25,15,23.08,3,13
T50,T62,Louis Oosthuizen,14,24.32,18,74,T212,T209,14,5.88,1,17,T222,T216,14,0.0,0,6
T50,T62,Tyler McCumber,43,24.32,81,333,165,162,43,12.96,7,54,96,101,43,15.58,12,77
52,38,Vaughn Taylor,47,24.21,100,413,T153,136,47,13.64,6,44,T124,177,47,13.95,6,43
53,70,Sung Kang,47,24.14,105,435,120,91,47,15.49,11,71,T3,3,47,28.57,22,77
54,33,Lanto Griffin,58,24.1,141,585,62,54,58,18.82,16,85,T67,62,58,17.24,15,87
55,71,Shane Lowry,16,24.0,24,100,T216,T213,16,5.0,1,20,T76,T79,16,16.67,1,6
56,72,Michael Gellerman,32,23.95,63,263,T194,T194,32,9.52,4,42,221,215,32,2.78,1,36
57,50,Doc Redman,52,23.94,135,564,T139,T117,52,14.55,8,55,T144,T140,52,12.5,7,56
58,64,Joaquin Niemann,38,23.92,83,347,T114,T137,38,15.69,8,51,T129,142,38,13.73,7,51
59,T51,Danny Lee,40,23.81,75,315,T149,T177,40,13.79,8,58,T124,110,40,13.95,6,43
60,74,Ryan Brehm,42,23.79,64,269,T194,T194,42,9.52,6,63,72,T76,42,16.98,9,53
61,75,Sebastian Cappelen,43,23.78,68,286,211,208,43,6.67,3,45,T92,T93,43,15.79,12,76
62,76,Martin Laird,39,23.76,91,383,222,219,39,2.38,1,42,T86,T88,39,16.13,10,62
63,78,Talor Gooch,50,23.75,124,522,T106,108,50,16.0,12,75,91,T85,50,15.85,13,82
T64,T66,Mark Hubbard,49,23.72,116,489,T141,T137,49,14.29,7,49,168,157,49,11.27,8,71
T64,T41,Charles Howell III,43,23.72,65,274,T118,143,43,15.56,7,45,T197,197,43,8.7,6,69
66,54,Sam Ryder,50,23.68,108,456,201,205,50,8.93,5,56,27,T25,50,21.69,18,83
67,T41,Wyndham Clark,41,23.59,67,284,80,61,41,17.74,11,62,184,170,41,9.84,6,61
68,49,Bubba Watson,30,23.58,58,246,28,T26,30,22.45,11,49,T139,T117,30,12.9,4,31
69,80,Matt Every,30,23.49,74,315,T99,T109,30,16.33,8,49,14,T12,30,23.81,15,63
T70,T81,Jhonattan Vegas,32,23.48,58,247,T191,T191,32,9.76,4,41,T86,T88,32,16.13,5,31
T70,T81,Isaiah Salinda,16,23.48,31,132,208,204,16,7.69,2,26,109,109,16,14.81,4,27
72,68,Patrick Rodgers,61,23.4,121,517,176,155,61,11.93,13,109,103,T113,61,15.25,18,118
73,65,Adam Long,54,23.31,117,502,126,T117,54,15.25,9,59,165,T183,54,11.48,7,61
74,73,Russell Knox,47,23.26,100,430,218,218,47,4.88,2,41,183,173,47,9.86,7,71
75,69,J.T. Poston,46,23.2,90,388,162,T156,46,13.16,5,38,T73,64,46,16.88,13,77
76,T88,Luke List,41,23.16,88,380,T68,T72,41,18.18,8,44,45,48,41,19.72,14,71
77,90,Rafael Campos,29,23.15,50,216,T92,T96,29,16.67,5,30,T92,T93,29,15.79,9,57
78,91,Brandon Wu,16,23.14,28,121,T189,T189,16,10.0,1,10,T222,T216,16,0.0,0,18
T79,27,Kevin Chappell,31,23.13,62,268,T82,71,31,17.39,8,46,T135,107,31,13.04,6,46
T79,77,Kevin Streelman,41,23.13,74,320,24,T22,41,22.92,11,48,T54,T68,41,19.05,8,42
81,92,Nelson Ledesma,34,23.12,46,199,138,144,34,14.58,7,48,T169,T166,34,11.11,5,45
T82,83,Andrew Putnam,30,23.08,48,208,219,215,30,4.17,1,24,192,T179,30,9.38,3,32
T82,T56,Adam Scott,26,23.08,48,208,T52,T96,26,19.61,10,51,2,4,26,29.41,10,34
84,79,Scott Harrington,46,23.06,92,399,168,184,46,12.7,8,63,T154,T113,46,12.31,8,65
85,93,Cameron Percy,37,23.05,74,321,T149,T152,37,13.79,8,58,47,51,37,19.57,9,46
86,98,Carlos Ortiz,46,23.01,107,465,48,43,46,20.21,19,94,39,35,46,20.45,18,88
87,94,Chase Seiffert,44,22.99,80,348,187,187,44,10.64,5,47,107,108,44,14.89,7,47
88,96,K.J. Choi,17,22.95,28,122,T3,T3,17,33.33,3,9,174,174,17,10.53,2,19
89,86,Max Homa,42,22.93,86,375,188,179,42,10.42,5,48,T169,T137,42,11.11,6,54
90,T56,Phil Mickelson,27,22.84,37,162,65,T92,27,18.6,8,43,T56,T37,27,18.75,3,16
91,T88,Corey Conners,40,22.83,87,381,221,217,40,2.94,1,34,40,33,40,20.37,11,54
92,101,Fabián Gómez,43,22.82,81,355,T147,151,43,13.89,5,36,177,178,43,10.17,6,59
93,T102,Cameron Tringale,46,22.8,96,421,22,T26,46,23.4,22,94,128,133,46,13.75,11,80
94,113,Sam Burns,34,22.76,84,369,T106,T133,34,16.0,8,50,175,T158,34,10.39,8,77
95,84,Alex Noren,28,22.75,53,233,9,5,28,27.78,5,18,T202,191,28,7.89,3,38
96,106,Peter Malnati,39,22.67,78,344,T139,145,39,14.55,8,55,83,T85,39,16.44,12,73
97,110,Mackenzie Hughes,32,22.59,68,301,207,203,32,7.84,4,51,T197,T192,32,8.7,4,46
98,109,Harold Varner III,46,22.58,84,372,66,T52,46,18.52,10,54,T97,T91,46,15.38,8,52
T99,T102,Nick Taylor,41,22.53,98,435,T197,T173,41,9.09,4,44,T97,61,41,15.38,8,52
T99,111,Bill Haas,30,22.53,57,253,220,216,30,3.7,1,27,110,112,30,14.58,7,48
101,108,Anirban Lahiri,33,22.47,60,267,T74,64,33,17.95,7,39,1,2,33,29.55,13,44
102,112,Brandon Hagy,36,22.34,65,291,T88,T92,36,17.14,12,70,T29,T37,36,21.43,12,56
103,100,Joel Dahmen,47,22.27,96,431,T121,T112,47,15.38,6,39,191,T171,47,9.43,5,53
104,115,Rhein Gibson,42,22.26,69,310,155,158,42,13.46,7,52,T15,T22,42,23.53,16,68
105,104,Zach Johnson,33,22.22,78,351,T204,T173,33,8.7,4,46,210,198,33,6.82,3,44
106,95,Nate Lashley,34,22.13,79,357,T118,T96,34,15.56,7,45,T92,T79,34,15.79,6,38
107,117,Kevin Stadler,20,22.06,30,136,T223,T220,20,0.0,0,16,176,176,20,10.34,3,29
108,105,Harry Higgs,53,22.05,112,508,91,T126,53,16.95,10,59,84,T117,53,16.42,11,67
109,99,Beau Hossler,51,22.03,87,395,209,201,51,7.58,5,66,T76,T42,51,16.67,13,78
110,119,J.J. Spaun,42,21.99,86,391,T197,T197,42,9.09,5,55,T73,78,42,16.88,13,77
111,60,Rickie Fowler,20,21.97,49,223,T134,T84,20,14.81,4,27,220,T213,20,3.45,1,29
112,121,Branden Grace,23,21.95,36,164,180,T177,23,11.54,3,26,10,11,23,25.49,13,51
113,120,Brian Stuard,53,21.92,112,511,T132,T96,53,14.89,7,47,T214,209,53,5.56,3,54
114,46,Ryan Moore,28,21.89,51,233,39,T35,28,21.21,7,33,T135,T93,28,13.04,3,23
115,114,Scott Piercy,44,21.88,77,352,215,T211,44,5.26,2,38,178,169,44,10.14,7,69
116,124,Scott Stallings,41,21.83,74,339,T86,90,41,17.24,10,58,201,195,41,8.51,4,47
117,T125,Boo Weekley,14,21.8,29,133,T223,T220,14,0.0,0,15,T222,T216,14,0.0,0,10
118,128,Austin Cook,38,21.67,78,360,T127,T133,38,15.22,7,46,216,211,38,5.26,2,38
119,129,Aaron Wise,31,21.65,55,254,T182,T180,31,11.11,3,27,212,208,31,6.12,3,49
120,131,Jim Furyk,19,21.63,53,245,T3,T3,19,33.33,3,9,6,5,19,27.78,5,18
T121,T132,Kyle Stanley,37,21.6,81,375,5,6,37,31.03,9,29,213,210,37,5.66,3,53
T121,T132,Ben Taylor,36,21.6,62,287,167,163,36,12.77,6,47,T144,T146,36,12.5,5,40
123,118,Brian Gay,45,21.59,87,403,54,45,45,19.3,11,57,T113,T93,45,14.52,9,62
124,127,Marc Leishman,33,21.55,64,297,43,34,33,20.75,11,53,T89,T93,33,15.91,7,44
125,135,Robert Streb,40,21.53,62,288,T114,T123,40,15.69,8,51,219,T213,40,3.85,1,26
126,97,Si Woo Kim,38,21.51,60,279,181,T170,38,11.32,6,53,T111,T102,38,14.55,8,55
127,137,Chris Stroud,30,21.43,54,252,T76,T78,30,17.86,5,28,218,212,30,4.35,2,46
T128,138,Patton Kizzire,35,21.36,69,323,T114,T123,35,15.69,8,51,T56,T58,35,18.75,12,64
T128,130,Tyler Duncan,45,21.36,91,426,T127,T96,45,15.22,7,46,T158,143,45,12.07,7,58
130,139,Michael Gligic,36,21.35,60,281,T92,T96,36,16.67,6,36,156,T153,36,12.28,7,57
131,136,Dylan Frittelli,50,21.33,96,450,111,87,50,15.87,10,63,T116,111,50,14.29,11,77
T132,T125,Lucas Glover,39,21.31,62,291,T49,T65,39,20.0,6,30,T144,130,39,12.5,5,40
T132,107,Jimmy Walker,32,21.31,65,305,26,T22,32,22.64,12,53,T193,175,32,9.09,7,77
134,85,Billy Horschel,41,21.28,60,282,T169,T194,41,12.5,3,24,70,156,41,17.14,6,35
135,134,Hank Lebioda,39,21.27,67,315,T156,T140,39,13.33,8,60,141,T166,39,12.77,6,47
136,141,Joseph Bramlett,41,21.26,71,334,81,T84,41,17.65,9,51,163,162,41,11.59,8,69
137,142,Chez Reavie,45,21.17,76,359,T178,T173,45,11.76,4,34,8,10,45,25.93,7,27
138,143,David Lingmerth,19,21.13,30,142,T178,T173,19,11.76,2,17,T76,T79,19,16.67,2,12
139,144,Josh Teater,27,21.11,38,180,T6,T7,27,30.0,6,20,T188,T187,27,9.52,2,21
140,87,Abraham Ancer,40,21.03,57,271,20,16,40,24.32,9,37,T49,19,40,19.23,10,52
141,146,Andrew Landry,33,20.99,72,343,T68,T72,33,18.18,6,33,143,T144,33,12.7,8,63
T142,116,Troy Merritt,36,20.98,64,305,T29,T31,36,22.22,6,27,85,87,36,16.33,8,49
T142,171,Graeme McDowell,28,20.98,47,224,T44,9,28,20.51,8,39,T25,T42,28,21.74,5,23
T142,145,Matthew NeSmith,46,20.98,90,429,T10,10,46,27.66,13,47,162,T153,46,11.67,7,60
145,122,Stewart Cink,31,20.97,65,310,196,T180,31,9.3,4,43,T31,T49,31,21.31,13,61
146,147,Aaron Baddeley,33,20.91,60,287,T44,50,33,20.51,8,39,61,67,33,18.0,9,50
147,148,Ricky Barnes,28,20.87,43,206,137,142,28,14.71,5,34,T179,T179,28,10.0,5,50
148,151,Richy Werenski,26,20.83,50,240,90,T94,26,17.02,8,47,34,40,26,21.21,7,33
149,T152,"Ted Potter, Jr.",30,20.82,51,245,15,18,30,25.93,14,54,T62,T70,30,17.86,5,28
150,154,Ben Martin,28,20.81,41,197,T92,T96,28,16.67,3,18,164,163,28,11.54,3,26
151,149,Zac Blair,48,20.79,89,428,40,19,48,21.15,11,52,T113,155,48,14.52,9,62
152,155,Jonathan Byrd,19,20.78,32,154,T182,T180,19,11.11,2,18,127,T131,19,13.79,4,29
T153,T156,Shawn Stefani,26,20.73,34,164,T121,T126,26,15.38,4,26,T76,T79,26,16.67,4,24
T153,T156,Dustin Johnson,16,20.73,34,164,T169,T164,16,12.5,5,40,T76,T79,16,16.67,2,12
155,164,Scott Brown,46,20.63,91,441,T197,T185,46,9.09,5,55,104,T68,46,15.22,7,46
T156,123,Bud Cauley,38,20.56,88,428,61,47,38,18.84,13,69,208,207,38,7.14,5,70
T156,158,Vincent Whaley,30,20.56,51,248,T68,T72,30,18.18,6,33,T129,T134,30,13.73,7,51
158,159,George McNeill,22,20.48,34,166,T82,T88,22,17.39,4,23,T204,T199,22,7.69,3,39
159,160,Robby Shelton,49,20.47,95,464,T16,13,49,25.0,16,64,T97,T65,49,15.38,8,52
160,163,Rory Sabbatini,42,20.41,69,338,T202,188,42,8.82,3,34,T158,T146,42,12.07,7,58
161,T165,Ryan Armour,36,20.36,68,334,T92,T96,36,16.67,5,30,T185,T185,36,9.68,3,31
162,221,Danny Willett,18,20.35,23,113,T58,T55,18,19.05,4,21,T135,T12,18,13.04,3,23
163,167,Hudson Swafford,21,20.34,36,177,T149,T152,21,13.79,4,29,7,T6,21,26.92,7,26
164,168,Lucas Bjerregaard,17,20.3,27,133,175,T170,17,12.0,3,25,T67,75,17,17.24,5,29
165,169,Francesco Molinari,19,20.28,29,143,25,T31,19,22.73,5,22,T160,T158,19,11.76,4,34
166,173,Bo Van Pelt,28,20.1,40,199,117,125,28,15.63,5,32,T144,T146,28,12.5,5,40
167,150,Matt Jones,46,20.09,86,428,T134,T96,46,14.81,8,54,24,T27,46,21.92,16,73
T168,T174,Robert Garrigus,19,20.0,25,125,T76,T78,19,17.86,5,28,211,T205,19,6.25,1,16
T168,T152,Pat Perez,35,20.0,54,270,67,T48,35,18.42,7,38,38,17,35,20.59,7,34
T168,T174,Doug Ghim,30,20.0,50,250,214,T211,30,5.71,2,35,T58,T65,30,18.18,4,22
171,T161,Sepp Straka,38,19.9,79,397,73,68,38,18.0,9,50,134,T117,38,13.21,7,53
172,178,D.J. Trahan,37,19.87,62,312,T10,12,37,27.66,13,47,T144,T146,37,12.5,4,32
173,T165,Keegan Bradley,40,19.84,75,378,105,T96,40,16.07,9,56,71,T58,40,17.07,7,41
174,179,Jamie Lovemark,20,19.83,46,232,T106,T117,20,16.0,4,25,T113,116,20,14.52,9,62
175,181,Vince Covello,21,19.8,39,197,T189,T189,21,10.0,2,20,T41,T42,21,20.0,8,40
176,182,David Hearn,39,19.65,67,341,T101,111,39,16.22,6,37,48,52,39,19.51,8,41
177,183,Jordan Spieth,30,19.63,32,163,T63,70,30,18.75,9,48,T116,T117,30,14.29,4,28
178,186,Wes Roach,36,19.59,48,245,T173,169,36,12.12,4,33,T144,T146,36,12.5,3,24
T179,140,Kevin Tway,34,19.58,47,240,T82,122,34,17.39,8,46,88,100,34,16.07,9,56
T179,187,Johnson Wagner,19,19.58,28,143,T216,T213,19,5.0,1,20,T204,T199,19,7.69,1,13
181,184,Brendon Todd,48,19.55,104,532,42,28,48,20.83,10,48,196,T183,48,8.93,5,56
182,172,Matthew Wolff,36,19.54,59,302,193,T185,36,9.62,5,52,33,16,36,21.28,10,47
183,190,Matt Kuchar,28,19.44,56,288,12,15,28,26.67,8,30,T49,T53,28,19.23,5,26
184,185,Jim Herman,36,19.43,75,386,T147,T112,36,13.89,5,36,T169,196,36,11.11,6,54
185,177,Henrik Norlander,46,19.42,74,381,T92,63,46,16.67,8,48,T11,9,46,25.0,12,48
186,T66,Tommy Fleetwood,22,19.35,24,124,T92,T164,22,16.67,2,12,T25,T12,22,21.74,5,23
187,T161,Byeong Hun An,47,19.3,72,373,13,T20,47,26.23,16,61,157,136,47,12.16,9,74
188,191,Luke Donald,18,19.29,27,140,21,24,18,23.81,5,21,T169,T166,18,11.11,2,18
189,194,Emiliano Grillo,37,19.17,51,266,T74,T156,37,17.95,7,39,T29,T27,37,21.43,6,28
190,192,Tim Wilkinson,32,19.16,50,261,T197,T197,32,9.09,2,22,T41,T42,32,20.0,6,30
191,193,Russell Henley,35,19.15,77,402,T29,T35,35,22.22,12,54,123,129,35,14.0,7,50
192,,Matt Wallace,14,19.01,23,121,T16,,14,25.0,4,16,217,,14,4.76,1,21
193,195,Jason Kokrak,33,18.89,51,270,T163,T126,33,13.04,6,46,T202,T205,33,7.89,3,38
194,197,Bo Hoag,47,18.86,73,387,T106,T117,47,16.0,8,50,T129,T134,47,13.73,7,51
T195,T199,Michael Thompson,32,18.8,66,351,T132,T137,32,14.89,7,47,T97,T102,32,15.38,6,39
T195,T199,Will Gordon,20,18.8,22,117,31,38,20,21.74,5,23,T188,T187,20,9.52,2,21
197,201,Derek Ernst,14,18.75,12,64,T223,T220,14,0.0,0,9,T222,T216,14,0.0,0,11
T198,202,Sangmoon Bae,18,18.69,20,107,T121,T126,18,15.38,4,26,T116,T117,18,14.29,3,21
T198,196,Kyoung-Hoon Lee,48,18.69,74,396,38,25,48,21.28,10,47,T58,T42,48,18.18,10,55
200,203,Martin Trainer,34,18.66,53,284,T191,T191,34,9.76,8,82,T62,T70,34,17.86,10,56
201,189,Rob Oppenheim,49,18.31,78,426,37,30,49,21.31,13,61,108,128,49,14.86,11,74
202,204,Brice Garnett,40,18.26,65,356,T52,62,40,19.61,10,51,T116,T117,40,14.29,8,56
203,205,Ben Crane,17,18.18,30,165,T223,T220,17,0.0,0,17,T197,T192,17,8.7,2,23
204,188,Xander Schauffele,30,18.11,46,254,T101,T55,30,16.22,6,37,9,8,30,25.58,11,43
205,,Steve Stricker,16,17.93,26,145,T223,,16,0.0,0,20,T144,,16,12.5,2,16
206,,Brooks Koepka,14,17.91,24,134,T153,,14,13.64,3,22,5,,14,28.13,9,32
207,206,Roger Sloan,33,17.89,44,246,T204,200,33,8.7,4,46,T64,T72,33,17.65,6,34
208,207,Michael Kim,14,17.71,17,96,T169,T164,14,12.5,2,16,T35,41,14,21.05,4,19
209,T208,Mark Anderson,37,17.68,61,345,T127,T133,37,15.22,7,46,T116,T117,37,14.29,9,63
210,180,Kevin Kisner,35,17.67,44,249,130,T96,35,15.15,5,33,T35,T27,35,21.05,4,19
211,210,Jason Dufner,34,17.65,66,374,T106,T117,34,16.0,8,50,209,204,34,7.02,4,57
212,211,Roberto Castro,23,17.37,33,190,1,1,23,39.13,9,23,T144,T146,23,12.5,3,24
213,198,Rafa Cabrera Bello,25,17.24,25,145,T141,T126,25,14.29,2,14,T15,1,25,23.53,4,17
214,212,Alex Cejka,23,17.16,29,169,T212,T209,23,5.88,1,17,T15,T22,23,23.53,4,17
215,213,John Senden,23,17.05,22,129,T223,T220,23,0.0,0,12,T144,T146,23,12.5,3,24
T216,T215,J.J. Henry,19,16.91,23,136,T92,T96,19,16.67,3,18,T188,T187,19,9.52,2,21
T216,T215,Kramer Hickok,37,16.91,57,337,T103,T112,37,16.13,5,31,T54,57,37,19.05,8,42
218,217,Ryo Ishikawa,14,16.9,12,71,T223,T220,14,0.0,0,9,T222,T216,14,0.0,0,14
219,218,Kurt Kitayama,18,16.78,25,149,T141,T146,18,14.29,2,14,T97,T102,18,15.38,4,26
T220,T219,Chris Baker,37,16.67,49,294,T156,T159,37,13.33,4,30,T222,T216,37,0.0,0,37
T220,T219,Graham DeLaet,14,16.67,19,114,T223,T220,14,0.0,0,11,T11,T12,14,25.0,3,12
222,T208,C.T. Pan,28,16.4,31,189,T173,T159,28,12.12,4,33,T193,T137,28,9.09,2,22
223,224,Kiradech Aphibarnrat,17,15.29,13,85,T68,T72,17,18.18,2,11,T116,T117,17,14.29,2,14
224,225,Sergio Garcia,20,15.22,14,92,T16,T20,20,25.0,4,16,T76,T79,20,16.67,3,18
225,222,Matthew Fitzpatrick,24,15.14,28,185,2,2,24,35.71,10,28,T76,T37,24,16.67,3,18
226,214,Ian Poulter,18,14.13,13,92,T182,T126,18,11.11,2,18,T92,T216,18,15.79,3,19
227,226,Chris Kirk,15,13.64,15,110,T169,T164,15,12.5,2,16,T193,190,15,9.09,1,11
228,223,Jazz Janewattananond,18,12.82,10,78,T156,T55,18,13.33,2,15,T222,T216,18,0.0,0,8
229,227,Arjun Atwal,21,12.8,16,125,T49,T55,21,20.0,5,25,T222,T216,21,0.0,0,17
230,228,Satoshi Kodaira,31,12.66,30,237,210,T206,31,7.14,2,28,T222,T216,31,0.0,0,16
231,,Justin Rose,14,12.5,12,96,T134,,14,14.81,4,27,T3,,14,28.57,6,21
